"Enabled","Activé"
"Title","Titre"
"Subtitle","Sous-titre"
"Your DPD Depot #","Votre n° d'agence DPD"
"Your Predict by DPD contract #","Votre n° de contrat Predict par DPD"
"Shipping rates configuration","Gestion des frais de port"
"Display when unavailable","Afficher quand non disponible"
"Yes","Oui"
"No","Non"
"Displayed Error Message","Afficher le message d'erreur"
"Sort Order","Ordre de tri"

"Your Predict delivery by DPD","Livraison à domicile Predict sur rendez-vous"
"Predict offers you the following benefits","Avec Predict, bénéficiez des avantages suivants"
"A parcel delivery in a 3-hour time window (choice is made by SMS or through our website)","Livraison de votre colis dans un créneau de 3h (choix par SMS ou par notre portail web)"
"A complete and detailed tracking of your delivery","Suivi complet et détaillé de votre livraison"
"In case of absence, you can schedule a new delivery when and where you it suits you best","En cas d’absence, vous reprogrammez une livraison où et quand vous le souhaitez"
"How does it work?","Comment ça fonctionne ?"
"Once your order is ready for shipment, you will receive an SMS proposing various days and time windows for your delivery.","Une fois votre commande préparée, nous vous envoyons un SMS avec plusieurs choix de dates et créneaux horaires de livraison"
"You choose the moment which suits you best for the delivery by replying to the SMS (no extra cost) or through our website","Vous sélectionnez la date et le créneau de 3h qui vous conviennent le mieux en répondant directement par SMS (prix d’un SMS standard) ou vous connectant sur l’Espace Destinataire disponible sur"
"On the day of delivery, a text message will remind you the selected time window.","Le jour de la livraison, vous recevez un SMS vous rappelant le créneau horaire"
"Get more info in this video ","Plus d'infos en vidéo "
"To get all the advantages of DPD's Predict service, please provide a french mobile phone number here ","Bénéficiez dès maintenant des avantages de la livraison Predict en renseignant votre n° de mobile ici "
"It seems that the GSM number you provided is incorrect. Please provide a french GSM number, starting with 06 or 07, on 10 consecutive digits.","Le numéro de mobile renseigné semble incorrect. Merci de préciser un numéro de mobile français, commençant par 06 ou 07, sur 10 chiffres consécutifs."
